,pop,emp,unemp,seed,count,rate,components
411,2853,1183,17,0.0,1,0.014166666666666666,49049010107
412,7565,3502,74,0.0,1,0.02069351230425056,49049010108
413,7864,3733,181,0.0,1,0.04624425140521206,49049010109
414,1484,849,11,0.0,1,0.012790697674418604,49049010110
415,7489,3379,34,0.0,1,0.009961910342806914,49049010111
416,5531,2970,37,0.0,1,0.012304622547389425,49049010112
417,5291,2829,19,0.0,1,0.006671348314606741,49049010113
418,4210,2056,19,0.0,1,0.009156626506024097,49049010208
419,6162,2416,63,0.0,1,0.025413473174667203,49049010209
420,3488,1547,31,0.0,1,0.01964512040557668,49049010211
421,4284,1904,22,0.0,1,0.01142263759086189,49049010212
422,2874,1110,30,0.0,1,0.02631578947368421,49049010213
423,6453,3352,106,0.0,1,0.030653556969346442,49049010214
424,7743,3521,102,0.0,1,0.028153463980126966,49049010215
425,3155,1263,28,0.0,1,0.021688613477924088,49049010216
426,4452,2113,70,0.0,1,0.0320659642693541,49049010217
427,6160,2446,46,0.0,1,0.018459069020866775,49049010218
428,4941,2240,58,0.0,1,0.025239338555265448,49049010219
429,6765,2898,73,0.0,1,0.024570851565129587,49049010220
430,4643,2289,91,0.0,1,0.03823529411764706,49049010303
431,7016,3707,208,0.0,1,0.05312899106002554,49049010304
432,3260,1259,46,0.0,1,0.03524904214559387,49049010305
433,5141,1755,11,0.0,1,0.00622876557191393,49049010404
434,4368,1986,79,0.0,1,0.038256658595641646,49049010405
435,2133,1154,14,0.0,1,0.011986301369863013,49049010406
436,2904,1092,8,0.0,1,0.007272727272727273,49049010407
437,4081,1718,53,0.0,1,0.029926595143986448,49049010408
438,2859,1278,43,0.0,1,0.03255109765329296,49049010409
439,3427,1533,49,0.0,1,0.030973451327433628,49049010410
440,3336,1206,38,0.0,1,0.03054662379421222,49049010503
441,3266,1516,61,0.0,1,0.03868103994927077,49049010504
442,4434,1636,85,0.0,1,0.04938988959907031,49049010505
443,2047,978,19,0.0,1,0.01905717151454363,49049010506
444,3778,1811,97,0.0,1,0.05083857442348008,49049010600
445,5365,2236,44,0.0,1,0.01929824561403509,49049010700
446,0,0,0,0.0,1,,49049980100
447,10669,5307,175,0.0,1,0.03192265596497629,49051940500
448,4874,2311,39,0.0,1,0.016595744680851062,49051960100
449,7290,3112,154,0.0,1,0.04715248009797918,49051960200
450,6611,2835,78,0.0,1,0.026776519052523172,49051960400
451,9731,3662,213,0.0,1,0.05496774193548387,49053270100
452,3433,1394,38,0.0,1,0.02653631284916201,49053270200
453,9534,3356,114,0.0,1,0.032853025936599424,49053270300
454,7240,3185,54,0.0,1,0.01667181228774313,49053270400
455,8304,3400,150,0.0,1,0.04225352112676056,49053270500
456,9034,3154,85,0.0,1,0.026242667489966037,49053270600
457,15891,7892,204,0.0,1,0.025197628458498024,49053270801
458,5646,3304,52,0.0,1,0.015494636471990465,49053270802
459,4345,1476,66,0.0,1,0.042801556420233464,49053270901
460,11449,5012,130,0.0,1,0.025281991443018282,49053270902
461,4767,1762,122,0.0,1,0.06475583864118896,49053271000
462,11822,4446,103,0.0,1,0.022642338975599034,49053271100
463,3623,2020,75,0.0,1,0.03579952267303103,49053271200
